# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
24.257812	2.8250860e-44	1.6081493e-45	1.0166890e-43
24.265625	2.8180236e-44	1.6046268e-45	1.0137778e-43
24.273438	2.8109829e-44	1.6011141e-45	1.0108786e-43
24.281250	2.8039639e-44	1.5976111e-45	1.0079914e-43
24.289062	2.7969665e-44	1.5941179e-45	1.0051161e-43
24.296875	2.7899906e-44	1.5906342e-45	1.0022527e-43
24.304688	2.7830362e-44	1.5871602e-45	9.9938809e-44
24.312500	2.7761031e-44	1.5836636e-45	9.9649085e-44
24.320312	2.7691913e-44	1.5801524e-45	9.9360559e-44
24.328125	2.7623008e-44	1.5766511e-45	9.9073223e-44
24.335938	2.7554314e-44	1.5731596e-45	9.8787071e-44
24.343750	2.7485831e-44	1.5696778e-45	9.8502098e-44
24.351562	2.7417557e-44	1.5662058e-45	9.8218296e-44
24.359375	2.7349494e-44	1.5627435e-45	9.7935660e-44
24.367188	2.7281638e-44	1.5592908e-45	9.7668497e-44
24.375000	2.7213991e-44	1.5558478e-45	9.7406609e-44
24.382812	2.7146550e-44	1.5524144e-45	9.7146098e-44
24.390625	2.7079316e-44	1.5490058e-45	9.6886958e-44
24.398438	2.7012287e-44	1.5456533e-45	9.6629186e-44
24.406250	2.6945464e-44	1.5423099e-45	9.6354497e-44
24.414062	2.6878844e-44	1.5389757e-45	9.6078400e-44
24.421875	2.6812428e-44	1.5356506e-45	9.5803427e-44
24.429688	2.6746215e-44	1.5323346e-45	9.5529573e-44
24.437500	2.6680204e-44	1.5290278e-45	9.5256832e-44
24.445312	2.6614394e-44	1.5257299e-45	9.4989046e-44
24.453125	2.6548785e-44	1.5224411e-45	9.4723007e-44
24.460938	2.6483376e-44	1.5191613e-45	9.4458022e-44
24.468750	2.6418166e-44	1.5158905e-45	9.4194087e-44
24.476562	2.6353155e-44	1.5126286e-45	9.3939345e-44
24.484375	2.6288341e-44	1.5093756e-45	9.3706708e-44
24.492188	2.6223725e-44	1.5061315e-45	9.3475542e-44
24.500000	2.6159305e-44	1.5028963e-45	9.3234001e-44
24.507812	2.6095081e-44	1.4996699e-45	9.2973527e-44
24.515625	2.6031052e-44	1.4964523e-45	9.2714095e-44
24.523438	2.5967218e-44	1.4932435e-45	9.2455699e-44
24.531250	2.5903577e-44	1.4900434e-45	9.2209646e-44
24.539062	2.5840129e-44	1.4868855e-45	9.1979568e-44
24.546875	2.5776874e-44	1.4837495e-45	9.1726368e-44
24.554688	2.5713811e-44	1.4806220e-45	9.1476115e-44
24.562500	2.5650938e-44	1.4775028e-45	9.1233899e-44
24.570312	2.5588256e-44	1.4743920e-45	9.0992618e-44
24.578125	2.5525764e-44	1.4712896e-45	9.0752265e-44
24.585938	2.5463461e-44	1.4681955e-45	9.0512837e-44
24.593750	2.5401347e-44	1.4651097e-45	9.0274328e-44
24.601562	2.5339420e-44	1.4620321e-45	9.0036734e-44
24.609375	2.5277680e-44	1.4589628e-45	8.9800051e-44
24.617188	2.5216127e-44	1.4559018e-45	8.9564273e-44
24.625000	2.5154760e-44	1.4528224e-45	8.9329397e-44
24.632812	2.5093578e-44	1.4497497e-45	8.9095418e-44
24.640625	2.5032580e-44	1.4466853e-45	8.8865035e-44
24.648438	2.4971767e-44	1.4436291e-45	8.8653216e-44
24.656250	2.4911136e-44	1.4405812e-45	8.8442585e-44
24.664062	2.4850689e-44	1.4375415e-45	8.8233141e-44
24.671875	2.4790423e-44	1.4345100e-45	8.8006576e-44
24.679688	2.4730339e-44	1.4314866e-45	8.7778754e-44
24.687500	2.4670436e-44	1.4284714e-45	8.7551787e-44
24.695312	2.4610712e-44	1.4254643e-45	8.7325671e-44
24.703125	2.4551169e-44	1.4224653e-45	8.7100404e-44
24.710938	2.4491804e-44	1.4194743e-45	8.6891974e-44
24.718750	2.4432617e-44	1.4164914e-45	8.6665026e-44
24.726562	2.4373608e-44	1.4134841e-45	8.6431976e-44
24.734375	2.4314777e-44	1.4104793e-45	8.6199153e-44
24.742188	2.4256121e-44	1.4075138e-45	8.5972923e-44
24.750000	2.4197642e-44	1.4045564e-45	8.5747556e-44
24.757812	2.4139338e-44	1.4016068e-45	8.5523048e-44
24.765625	2.4081208e-44	1.3986652e-45	8.5299393e-44
24.773438	2.4023253e-44	1.3957315e-45	8.5076589e-44
24.781250	2.3965471e-44	1.3928057e-45	8.4854631e-44
24.789062	2.3907861e-44	1.3898877e-45	8.4652111e-44
24.796875	2.3850424e-44	1.3869776e-45	8.4447012e-44
24.804688	2.3793159e-44	1.3840662e-45	8.4227560e-44
24.812500	2.3736065e-44	1.3811680e-45	8.4007849e-44
24.820312	2.3679141e-44	1.3782945e-45	8.3786619e-44
24.828125	2.3622387e-44	1.3754286e-45	8.3566233e-44
24.835938	2.3565803e-44	1.3725704e-45	8.3346686e-44
24.843750	2.3509387e-44	1.3697198e-45	8.3127973e-44
24.851562	2.3453140e-44	1.3668768e-45	8.2922515e-44
24.859375	2.3397060e-44	1.3640414e-45	8.2714322e-44
24.867188	2.3341147e-44	1.3612135e-45	8.2501374e-44
24.875000	2.3285400e-44	1.3583931e-45	8.2289222e-44
24.882812	2.3229820e-44	1.3555802e-45	8.2077861e-44
24.890625	2.3174404e-44	1.3527748e-45	8.1867289e-44
24.898438	2.3119154e-44	1.3499769e-45	8.1657502e-44
24.906250	2.3064067e-44	1.3471364e-45	8.1448495e-44
24.914062	2.3009208e-44	1.3443011e-45	8.1240266e-44
24.921875	2.2954536e-44	1.3414735e-45	8.1032061e-44
24.929688	2.2900025e-44	1.3386535e-45	8.0824392e-44
24.937500	2.2845675e-44	1.3358411e-45	8.0617498e-44
24.945312	2.2791487e-44	1.3330362e-45	8.0411376e-44
24.953125	2.2737458e-44	1.3302390e-45	8.0206022e-44
24.960938	2.2683590e-44	1.3274764e-45	8.0001432e-44
24.968750	2.2629880e-44	1.3247288e-45	7.9797603e-44
24.976562	2.2576726e-44	1.3219885e-45	7.9594531e-44
24.984375	2.2523794e-44	1.3192556e-45	7.9392213e-44
24.992188	2.2471017e-44	1.3165299e-45	7.9190645e-44
25.000000	2.2418393e-44	1.3138114e-45	7.8989823e-44
25.007812	2.2365924e-44	1.3111002e-45	7.8789744e-44
25.015625	2.2313608e-44	1.3083962e-45	7.8590404e-44
25.023438	2.2261444e-44	1.3056993e-45	7.8391801e-44
25.031250	2.2209432e-44	1.3030137e-45	7.8193930e-44
25.039062	2.2157572e-44	1.3003810e-45	7.7996788e-44
25.046875	2.2105863e-44	1.2977552e-45	7.7800372e-44
25.054688	2.2054305e-44	1.2951362e-45	7.7604678e-44
25.062500	2.2002897e-44	1.2925241e-45	7.7409703e-44
25.070312	2.1951638e-44	1.2899187e-45	7.7215444e-44
25.078125	2.1900529e-44	1.2873202e-45	7.7021897e-44
25.085938	2.1849568e-44	1.2847284e-45	7.6829059e-44
25.093750	2.1798755e-44	1.2821433e-45	7.6636926e-44
25.101562	2.1748089e-44	1.2795649e-45	7.6445496e-44
25.109375	2.1697571e-44	1.2769933e-45	7.6254765e-44
25.117188	2.1647199e-44	1.2744283e-45	7.6064730e-44
25.125000	2.1596974e-44	1.2718700e-45	7.5875387e-44
25.132812	2.1546894e-44	1.2693183e-45	7.5686734e-44
25.140625	2.1496959e-44	1.2667733e-45	7.5498767e-44
25.148438	2.1447169e-44	1.2642349e-45	7.5311484e-44
25.156250	2.1397523e-44	1.2617030e-45	7.5124880e-44
25.164062	2.1348021e-44	1.2591777e-45	7.4938953e-44
25.171875	2.1298662e-44	1.2566589e-45	7.4753699e-44
25.179688	2.1249446e-44	1.2541467e-45	7.4569117e-44
25.187500	2.1200372e-44	1.2516410e-45	7.4385202e-44
25.195312	2.1151440e-44	1.2491417e-45	7.4202064e-44
25.203125	2.1102649e-44	1.2466489e-45	7.4020243e-44
25.210938	2.1053999e-44	1.2441626e-45	7.3839140e-44
25.218750	2.1005489e-44	1.2416827e-45	7.3658687e-44
25.226562	2.0957119e-44	1.2392091e-45	7.3478882e-44
25.234375	2.0908889e-44	1.2367420e-45	7.3299721e-44
25.242188	2.0860798e-44	1.2342813e-45	7.3121203e-44
25.250000	2.0812845e-44	1.2318269e-45	7.2942522e-44
25.257812	2.0765031e-44	1.2293788e-45	7.2763595e-44
25.265625	2.0717354e-44	1.2269370e-45	7.2585316e-44
25.273438	2.0669814e-44	1.2245015e-45	7.2407682e-44
25.281250	2.0622410e-44	1.2220723e-45	7.2230689e-44
25.289062	2.0575143e-44	1.2196494e-45	7.2054336e-44
25.296875	2.0528012e-44	1.2172327e-45	7.1878804e-44
25.304688	2.0481017e-44	1.2148222e-45	7.1704545e-44
25.312500	2.0434156e-44	1.2124179e-45	7.1530907e-44
25.320312	2.0387429e-44	1.2100198e-45	7.1357887e-44
25.328125	2.0340837e-44	1.2076279e-45	7.1185482e-44
25.335938	2.0294378e-44	1.2052421e-45	7.1013689e-44
25.343750	2.0248052e-44	1.2028624e-45	7.0842506e-44
25.351562	2.0201859e-44	1.2004889e-45	7.0671929e-44
25.359375	2.0155798e-44	1.1981214e-45	7.0501957e-44
25.367188	2.0109870e-44	1.1957600e-45	7.0332586e-44
25.375000	2.0064072e-44	1.1934046e-45	7.0163814e-44
25.382812	2.0018405e-44	1.1910553e-45	6.9995639e-44
25.390625	1.9972869e-44	1.1886747e-45	6.9827811e-44
25.398438	1.9927463e-44	1.1862805e-45	6.9657722e-44
25.406250	1.9882187e-44	1.1838925e-45	6.9488244e-44
25.414062	1.9837040e-44	1.1815108e-45	6.9319374e-44
25.421875	1.9792021e-44	1.1791353e-45	6.9151110e-44
25.429688	1.9747131e-44	1.1767660e-45	6.8983450e-44
25.437500	1.9702369e-44	1.1744029e-45	6.8817271e-44
25.445312	1.9657735e-44	1.1720460e-45	6.8655550e-44
25.453125	1.9613821e-44	1.1696952e-45	6.8494394e-44
25.460938	1.9570094e-44	1.1673505e-45	6.8333798e-44
25.468750	1.9526491e-44	1.1650119e-45	6.8173761e-44
25.476562	1.9483009e-44	1.1626795e-45	6.8014280e-44
25.484375	1.9439650e-44	1.1603531e-45	6.7855352e-44
25.492188	1.9396412e-44	1.1580328e-45	6.7696976e-44
25.500000	1.9353296e-44	1.1557185e-45	6.7539148e-44
